"identifiant","Prénom","Nom","Région","Département","Numéro de circonscription","Profession","Groupe politique (complet)","Groupe politique (abrégé)"
"721896","Elsa","Faucillon","Ile-de-France","Hauts-de-Seine","1","Employée du secteur privé","Non inscrit","NI"
"1567","Jérôme","Guedj","Ile-de-France","Essonne","6","Inspecteur général des affaires sociales","Non inscrit","NI"
"643175","Stella","Dupont","Pays de la Loire","Maine-et-Loire","2","Comptable","Non inscrit","NI"
"722390","Josiane","Corneloup","Bourgogne-Franche-Comté","Saône-et-Loire","2","Pharmacien","Non inscrit","NI"
"722142","François","Ruffin","Hauts-de-France","Somme","1","Reporter","Non inscrit","NI"
"795084","Rodrigo","Arenas","Ile-de-France","Paris","10","Cadre de la fonction publique","Non inscrit","NI"
"793664","Marie","Pochon","Auvergne-Rhône-Alpes","Drôme","3","Responsable associative","Non inscrit","NI"
"795046","Caroline","Yadan","Français établis hors de France","Français établis hors de France","8","Avocat","Non inscrit","NI"
"721852","Marie","Lebec","Ile-de-France","Yvelines","4","Consultante en affaires publiques","Non inscrit","NI"
"606573","Fanny","Dombre Coste","Occitanie","Hérault","3","Artisan Photographe","Non inscrit","NI"
"794830","Hubert","Ott","Grand Est","Haut-Rhin","2","Professeur, profession scientifique","Non inscrit","NI"
"793744","Anne","Stambach-Terrenoir","Occitanie","Haute-Garonne","2","Professeure de piano","Non inscrit","NI"
"795164","Aurélie","Trouvé","Ile-de-France","Seine-Saint-Denis","9","Cadre de la fonction publique","Non inscrit","NI"
"721426","Véronique","Riotton","Auvergne-Rhône-Alpes","Haute-Savoie","1","Consultante-Coach en Ressources Humaines","Non inscrit","NI"
"331973","Pascale","Got","Nouvelle-Aquitaine","Gironde","5","Journaliste","Non inscrit","NI"
"840979","Corentin","Le Fur","Bretagne","Côtes-d'Armor","3","(37) - Cadre administratif et commercial d'entreprise","Non inscrit","NI"
"840143","Guillaume","Florquin","Hauts-de-France","Nord","20","(33) - Cadre de la fonction publique","Non inscrit","NI"
"342384","Élisa","Martin","Auvergne-Rhône-Alpes","Isère","3","Professeur, profession scientifique","Non inscrit","NI"
"794702","Delphine","Lingemann","Auvergne-Rhône-Alpes","Puy-de-Dôme","4","Chef d'entreprise - Enseignante associée université","Non inscrit","NI"
"840857","Nadine","Lechon","Nouvelle-Aquitaine","Dordogne","1","(12) - Agriculteur sur moyenne exploitation","Non inscrit","NI"
"643089","Jean-Louis","Thiériot","Ile-de-France","Seine-et-Marne","3","Avocat","Non inscrit","NI"
"795244","Stéphane","Lenormand","Saint-Pierre-et-Miquelon","Saint-Pierre-et-Miquelon","1","Ancien cadre","Non inscrit","NI"
"267780","Agnès","Firmin Le Bodo","Normandie","Seine-Maritime","7","Pharmacien","Non inscrit","NI"
"719558","Erwan","Balanant","Bretagne","Finistère","8","Photographe et réalisateur","Non inscrit","NI"
"840737","Flavien","Termet","Grand Est","Ardennes","1","(33) - Cadre de la fonction publique","Non inscrit","NI"
"796050","Philippe","Schreck","Provence-Alpes-Côte d'Azur","Var","8","Profession libérale","Non inscrit","NI"
"841769","Éric","Michoux","Bourgogne-Franche-Comté","Saône-et-Loire","4","(23) - Chef d'entreprise de 10 salariés ou plus","Non inscrit","NI"
"791824","Sarah","Legrain","Ile-de-France","Paris","16","Professeure de français","Non inscrit","NI"
"794138","Ségolène","Amiot","Pays de la Loire","Loire-Atlantique","3","Employé administratif d'entreprise","Non inscrit","NI"
"841729","Abdelkader","Lahmar","Auvergne-Rhône-Alpes","Rhône","7","(34) - Professeur, profession scientifique","Non inscrit","NI"
"793672","Christine","Loir","Normandie","Eure","1","Profession intermédiaire de la santé et du travail social","Non inscrit","NI"
"721004","Amélia","Lakrafi","Français établis hors de France","Français établis hors de France","10","Chef d'entreprise","Non inscrit","NI"
"794590","Alexandre","Loubet","Grand Est","Moselle","7","Cadre d'entreprise","Non inscrit","NI"
"721916","Natalia","Pouzyreff","Ile-de-France","Yvelines","6","Ingénieure","Non inscrit","NI"
"721314","Raphaël","Schellenberger","Grand Est","Haut-Rhin","4","(33) - Cadre de la fonction publique","Non inscrit","NI"
"795176","Nicolas","Metzdorf","Nouvelle-Calédonie","Nouvelle-Calédonie","1","Ingénieur et cadre technique d'entreprise","Non inscrit","NI"
"793218","Jordan","Guitton","Grand Est","Aube","1","Assistant Parlementaire","Non inscrit","NI"
"608264","Colette","Capdevielle","Nouvelle-Aquitaine","Pyrénées-Atlantiques","5","Avocate","Non inscrit","NI"
"840765","Laurent","Lhardit","Provence-Alpes-Côte d'Azur","Bouches-du-Rhône","2","Chef d'entreprise","Non inscrit","NI"
"588884","Clémentine","Autain","Ile-de-France","Seine-Saint-Denis","11","Journaliste et autre média","Non inscrit","NI"
"842211","Béatrice","Bellay","Martinique","Martinique","3","(33) - Cadre de la fonction publique","Non inscrit","NI"
"721442","Christelle","Petex","Auvergne-Rhône-Alpes","Haute-Savoie","3","Cadre administratif et commercial d'entreprise","Non inscrit","NI"
"719372","Guillaume","Kasbarian","Centre-Val de Loire","Eure-et-Loir","1","Cadre supérieur (secteur privé)","Non inscrit","NI"
"794478","David","Guiraud","Hauts-de-France","Nord","8","Cadre administratif d'entreprise","Non inscrit","NI"
"720092","Richard","Ramos","Centre-Val de Loire","Loiret","6","Autre cadre (secteur privé)","Non inscrit","NI"
"642695","Éric","Bothorel","Bretagne","Côtes-d'Armor","5","Cadre supérieur (secteur privé)","Non inscrit","NI"
"840673","Valérie","Rossi","Provence-Alpes-Côte d'Azur","Hautes-Alpes","2","(37) - Cadre administratif et commercial d'entreprise","Non inscrit","NI"
"720668","Emmanuel","Blairy","Hauts-de-France","Pas-de-Calais","1","Fonctionnaire territorial","Non inscrit","NI"
"721474","Stéphane","Viry","Grand Est","Vosges","1","Avocat","Non inscrit","NI"
"720720","Josy","Poueyto","Nouvelle-Aquitaine","Pyrénées-Atlantiques","1","Retraitée de la fonction publique (hors enseignement)","Non inscrit","NI"
"840869","Florence","Joubert","Nouvelle-Aquitaine","Dordogne","3","(33) - Cadre de la fonction publique","Non inscrit","NI"
"793394","Arthur","Delaporte","Normandie","Calvados","2","Professeur, profession scientifique","Non inscrit","NI"
"720952","Aurélien","Taché","Ile-de-France","Val-d'Oise","10","Fonctionnaire de catégorie A","Non inscrit","NI"
"794734","Michel","Guiniot","Hauts-de-France","Oise","6","Ancien cadre","Non inscrit","NI"
"2952","Jean-Luc","Warsmann","Grand Est","Ardennes","3","Directeur de mutuelle","Non inscrit","NI"
"942","Charles","de Courson","Grand Est","Marne","5","Conseiller référendaire honoraire à la Cour des comptes","Non inscrit","NI"
"840721","Marc","Chavent","Auvergne-Rhône-Alpes","Ain","5","(33) - Cadre de la fonction publique","Non inscrit","NI"
"610968","Pouria","Amirshahi","Ile-de-France","Paris","5","Cadre territorial de catégorie A","Non inscrit","NI"
"721750","Céline","Calvez","Ile-de-France","Hauts-de-Seine","5","Consultante communication","Non inscrit","NI"
"841327","Fabrice","Roussel","Pays de la Loire","Loire-Atlantique","5","(34) - Professeur, profession scientifique","Non inscrit","NI"
"794994","Alexandre","Portier","Auvergne-Rhône-Alpes","Rhône","9","Professeur de philosophie","Non inscrit","NI"
"793616","Kévin","Mauvieux","Normandie","Eure","3","Conseiller en assurance","Non inscrit","NI"
"333285","Guillaume","Garot","Pays de la Loire","Mayenne","1","Cadre administratif","Non inscrit","NI"
"722284","Bruno","Fuchs","Grand Est","Haut-Rhin","6","Chef d'entreprise","Non inscrit","NI"
"794206","Christophe","Marion","Centre-Val de Loire","Loir-et-Cher","3","Délégué général du Comité des travaux historiques et scientifiques","Non inscrit","NI"
"795258","Frantz","Gumbs","Saint-Barthélemy et Saint-Martin","Saint-Barthélemy et Saint-Martin","1","Personnel de direction de l'éducation nationale retraité","Non inscrit","NI"
"793464","Sébastien","Delogu","Provence-Alpes-Côte d'Azur","Bouches-du-Rhône","7","Sans profession","Non inscrit","NI"
"795278","Béatrice","Bellamy","Pays de la Loire","Vendée","2","Cadre administratif et commercial d'entreprise","Non inscrit","NI"
"342196","Claudia","Rouaux","Bretagne","Ille-et-Vilaine","3","Gestionnaire à l'INRAE","Non inscrit","NI"
"794870","Sylvie","Ferrer","Occitanie","Hautes-Pyrénées","1","(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r","Non inscrit","NI"
"793452","Hendrik","Davi","Provence-Alpes-Côte d'Azur","Bouches-du-Rhône","5","Professeur, profession scientifique","Non inscrit","NI"
"795868","Jean-Victor","Castor","Guyane","Guyane","1","Cadre technique d'entreprise","Non inscrit","NI"
